Job_Titles,Company_Names,Salary,Job_Location,Job_Link,Joblist_Date
Google Analytics Specialist,Radius,"₹25,000 - ₹35,000","Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-data-analyst-python-sql-at-kreditbee-3749578335?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=qa0jIQvCbht2nFsG2UWYyQ%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card,2 months ago
"Senior Data Analyst - Python, SQL",KreditBee,"₹2,000,000 - ₹2,900,000","Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-recruin-3755888720?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=oLRULrxzsVLEOQ7yNKQqXw%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago
Data Analyst,Recruin,"₹400,000 - ₹700,000",India,https://in.linkedin.com/jobs/view/senior-cmi-executive-predictive-analytics-at-unilever-3641120629?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=4xxI3ELzHTOYOfTIRTbsyw%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card,3 weeks ago
Senior CMI Executive - Predictive Analytics,Unilever,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/business-data-analyst-at-multi-recruit-3720733748?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=kTG7BUSylKj9ut7LHIq5Dw%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card,6 days ago
Business Data Analyst,Multi Recruit,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/analytics-at-dubai-jobs-gulf-jobs-jobs-in-dubai-qatar-kuwait-boyen-haddin-the-giant-hr-consultant-3702054529?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=11Qs2kOMWV0CzlNLtYhxqA%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago
Analytics,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-coforge-3756335290?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=zmuqMQu%2BE1BOEQEdT0qLHQ%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card,2 weeks ago
DATA ANALYST,Coforge,None,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-dubai-jobs-gulf-jobs-jobs-in-dubai-qatar-kuwait-boyen-haddin-the-giant-hr-consultant-3702049842?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=Uj%2BKU80T0fiWR0sN7hF6pQ%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card,2 months ago
Data Analyst,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",None,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/jasper-colin-research-head-analytics-at-jasper-colin-3744201358?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=H%2BOFL7AAXWV%2FBi8qaM4iUg%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card,2 days ago
Jasper Colin Research - Head - Analytics,Jasper Colin,None,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/customer-analytics-manager-associate-manager-at-tredence-inc-3737080567?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=6y50GY0QwrJ3B5%2Faicwz1w%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card,3 weeks ago
Customer Analytics Manager/ Associate Manager,Tredence Inc.,None,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/senior-cmi-executive-predictive-analysis-at-unilever-3716733555?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=mdDD%2Fq2oCp0VI0UFik4qDw%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card,3 days ago
